time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:24.569,0.05,-0.38,9.83,-0.0625,0.125,0.0,-16.1875,8.875,-46.0625
2021-06-17T15:56:24.582,0.06,-0.41,9.86,0.0625,-0.0625,0.0625,-16.1875,8.875,-46.0625
2021-06-17T15:56:24.611,0.05,-0.4,9.85,-0.0625,0.0,0.0625,-16.1875,8.5,-44.375
2021-06-17T15:56:24.624,0.05,-0.4,9.83,0.0625,0.0,0.0,-16.1875,8.5,-44.375
2021-06-17T15:56:24.636,0.07,-0.4,9.83,0.0625,0.0625,0.0,-16.1875,8.5,-44.375
2021-06-17T15:56:24.649,0.05,-0.39,9.85,0.0,0.0,0.0,-16.1875,8.5,-44.375
2021-06-17T15:56:24.662,0.06,-0.4,9.84,-0.0625,0.0625,0.0,-16.1875,9.25,-45.25
2021-06-17T15:56:24.675,0.06,-0.39,9.81,0.0,-0.0625,0.0625,-16.1875,9.25,-45.25
2021-06-17T15:56:24.688,0.04,-0.39,9.84,0.0625,0.0,0.0,-16.1875,9.25,-45.25
2021-06-17T15:56:24.701,0.06,-0.4,9.84,0.1875,-0.0625,0.0,-16.1875,9.25,-45.25
2021-06-17T15:56:24.713,0.05,-0.39,9.84,0.0,0.125,-0.0625,-15.375,8.1875,-45.25
2021-06-17T15:56:24.726,0.06,-0.4,9.81,0.0625,-0.0625,0.0,-15.375,8.1875,-45.25
2021-06-17T15:56:24.74,0.03,-0.41,9.86,0.0625,0.0625,0.0,-15.375,8.1875,-45.25
2021-06-17T15:56:24.753,0.06,-0.42,9.84,0.0,0.0,0.0,-15.375,8.1875,-45.25
2021-06-17T15:56:24.765,0.06,-0.42,9.82,0.125,0.0,-0.0625,-16.5,8.875,-45.5625
2021-06-17T15:56:24.778,0.02,-0.39,9.83,0.0625,-0.125,0.125,-16.5,8.875,-45.5625
2021-06-17T15:56:24.791,0.05,-0.39,9.83,0.125,0.0,0.0,-16.5,8.875,-45.5625
2021-06-17T15:56:24.804,0.05,-0.39,9.88,0.0,-0.0625,0.0625,-16.5,8.1875,-46.0
2021-06-17T15:56:24.817,0.05,-0.41,9.86,0.125,-0.0625,-0.0625,-16.5,8.1875,-46.0
2021-06-17T15:56:24.837,0.05,-0.41,9.87,0.0,0.0625,0.0,-16.5,8.1875,-46.0
